Trial,Step,Censored_Node,Avg_RTT,Packet_Loss
1,0,None,428.663,0
1,1,n21,734.386,30
1,2,n49,677.809,0
1,3,n12,466.636,0
1,4,n26,466.406,0
1,5,n48,466.899,0
1,6,n27,473.019,0
1,7,n42,467.715,0
1,8,n15,466.908,0
1,9,n2,478.09,0
1,10,n10,467.825,0
1,11,n47,466.736,0
1,12,n31,472.098,0
1,13,n4,471.335,0
1,14,n32,467.759,0
1,15,n18,0,100
1,16,n13,0,100
1,17,n16,0,100
1,18,n23,0,100
1,19,n28,0,100
1,20,n6,0,100
1,21,n20,0,100
1,22,n29,0,100
1,23,n30,0,100
1,24,n37,0,100
1,25,n39,0,100
1,26,n3,0,100
1,27,n0,0,100
1,28,n25,0,100
1,29,n33,0,100
1,30,n5,0,100
1,31,n40,0,100
1,32,n19,0,100
1,33,n8,0,100
1,34,n36,0,100
1,35,n41,0,100
1,36,n14,0,100
1,37,n22,0,100
1,38,n7,0,100
1,39,n35,0,100
1,40,n45,0,100
1,41,n1,0,100
1,42,n24,0,100
1,43,n17,0,100
1,44,n9,0,100
1,45,n38,0,100
1,46,n46,0,100
1,47,n11,0,100
1,48,n43,0,100
2,0,None,243.652,0
2,1,n16,242.813,0
2,2,n48,243.145,0
2,3,n42,242.602,0
2,4,n36,242.665,0
2,5,n33,243.577,0
2,6,n40,242.855,0
2,7,n47,242.305,0
2,8,n5,242.244,0
2,9,n3,291.587,20
2,10,n49,290.198,0
2,11,n12,291.281,0
2,12,n43,291.057,0
2,13,n10,290.724,0
2,14,n35,290.976,0
2,15,n1,0,100
2,16,n20,0,100
2,17,n44,0,100
2,18,n6,0,100
2,19,n30,0,100
2,20,n39,0,100
2,21,n17,0,100
2,22,n26,0,100
2,23,n38,0,100
2,24,n45,0,100
2,25,n18,0,100
2,26,n34,0,100
2,27,n2,0,100
2,28,n22,0,100
2,29,n11,0,100
2,30,n37,0,100
2,31,n25,0,100
2,32,n41,0,100
2,33,n8,0,100
2,34,n13,0,100
2,35,n28,0,100
2,36,n14,0,100
2,37,n23,0,100
2,38,n46,0,100
2,39,n31,0,100
2,40,n29,0,100
2,41,n24,0,100
2,42,n0,0,100
2,43,n21,0,100
2,44,n15,0,100
2,45,n4,0,100
2,46,n19,0,100
2,47,n9,0,100
2,48,n27,0,100
3,0,None,283.258,0
3,1,n15,283.683,0
3,2,n24,283.002,0
