Iteration,Consumer,Result
1,n0,0
1,n1,0
1,n2,0
1,n3,0
1,n5,1
1,n6,0
1,n7,1
1,n9,1
1,n10,0
1,n11,1
1,n12,0
1,n13,1
1,n14,1
1,n15,1
1,n16,1
1,n17,1
1,n18,0
1,n19,0
1,n20,0
1,n21,1
1,n22,0
1,n23,0
1,n24,0
1,n25,1
1,n26,0
1,n27,0
1,n28,0
1,n29,0
1,n30,1
1,n31,1
1,n32,0
1,n33,1
1,n34,0
1,n35,0
1,n36,0
1,n37,0
1,n38,0
1,n39,1
1,n40,1
1,n41,1
1,n42,0
1,n43,1
1,n44,1
1,n45,1
1,n46,1
1,n47,0
1,n48,0
1,n49,0
1,n8,2
1,n4,3
2,n0,1
2,n1,0
2,n2,1
2,n3,0
2,n5,1
2,n6,1
2,n8,0
2,n9,1
2,n10,0
2,n11,1
2,n12,0
2,n13,1
2,n14,1
2,n15,1
2,n16,1
2,n17,1
2,n18,0
2,n19,0
2,n20,0
2,n21,1
2,n22,0
2,n23,0
2,n24,0
2,n25,1
2,n26,1
2,n27,1
2,n28,0
2,n29,1
2,n30,1
2,n31,0
2,n32,0
2,n33,1
2,n34,0
2,n35,0
2,n36,0
2,n37,1
2,n38,1
2,n39,1
2,n40,1
2,n41,1
2,n42,1
2,n43,1
2,n44,1
2,n45,1
2,n46,1
2,n47,1
2,n48,1
2,n49,1
2,n7,2
2,n4,3
3,n0,1
3,n1,0
3,n2,1
3,n3,1
3,n4,0
3,n5,1
3,n6,1
3,n9,1
3,n10,1
3,n11,0
3,n12,1
3,n13,0
3,n14,1
3,n15,1
3,n16,1
3,n17,1
3,n18,0
3,n19,1
3,n20,1
3,n21,1
3,n22,0
3,n23,1
3,n24,1
3,n25,0
3,n26,1
3,n27,1
3,n28,1
3,n29,1
3,n30,1
3,n31,0
3,n32,1
3,n33,1
3,n34,1
3,n35,1
3,n36,1
3,n37,1
3,n38,1
3,n39,1
3,n40,0
3,n41,1
3,n42,1
3,n43,1
3,n44,1
3,n45,1
3,n46,0
3,n47,1
3,n48,1
3,n49,1
3,n7,2
3,n8,3
4,n0,1
4,n2,1
4,n3,0
4,n4,0
4,n5,0
4,n6,1
4,n7,0
4,n9,0
4,n10,1
4,n11,0
4,n12,0
4,n13,0
4,n14,0
4,n15,0
4,n16,1
4,n17,0
4,n18,0
4,n19,0
4,n20,0
4,n21,0
4,n22,0
4,n23,0
4,n24,1
4,n25,0
4,n26,1
4,n27,1
4,n28,1
4,n29,1
4,n30,0
4,n31,0
4,n32,0
4,n33,0
4,n34,0
4,n35,0
4,n36,0
4,n37,1
4,n38,1
4,n39,1
4,n40,0
4,n41,1
4,n42,1
4,n43,1
4,n44,0
4,n45,1
4,n46,0
4,n47,0
4,n48,1
4,n49,0
4,n1,2
4,n8,3
5,n0,1
5,n1,1
5,n2,1
5,n3,1
5,n5,0
5,n6,1
5,n7,0
5,n9,0
5,n10,1
5,n11,0
5,n12,1
5,n13,0
5,n14,0
5,n15,0
5,n16,0
5,n17,0
5,n18,0
5,n19,1
5,n20,1
5,n21,0
5,n22,1
5,n23,1
5,n24,1
5,n25,0
5,n26,1
5,n27,1
5,n28,1
5,n29,1
5,n30,0
5,n31,0
5,n32,1
5,n33,0
5,n34,1
5,n35,1
5,n36,1
5,n37,1
5,n38,1
5,n39,0
5,n40,0
5,n41,0
5,n42,1
5,n43,0
5,n44,0
5,n45,0
5,n46,0
5,n47,1
5,n48,1
5,n49,1
5,n4,2
5,n8,3
6,n0,1
6,n1,0
6,n4,0
6,n5,0
6,n6,1
6,n7,0
6,n8,1
6,n9,0
6,n10,1
6,n11,0
6,n12,0
